ID;Target;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31
283;1;0;;;10;0;1,02;1,02;1,55;1,15;30;123;45,54;3,8;7,32;38,22;3,83;819,36;0;1,67;0;0,29;831,68;783,82;171,33;818,15;0,63;0,13;0;6,42;0,97;6,42
342;0;0;30;6,8;0;0;1;1,65;1,15;0,41;9;78;23,74;17,97;0;23,74;3,83;316,62;0;0,33;0;0;195,14;168,3;81;;6,32;0,27;0,33;;1,61;3,45
631;0;0;30;9,6;0;0;1;0,84;;0;28,67;12,67;15,8;22,57;4,58;11,22;3,83;184,49;0;0;0;-2,28;226,11;207,42;110;184,49;2,26;0;0,07;;0,75;8,08
1165;0;0;30,33;15,33;0;0;0,99;0,88;;2,68;61,67;112,33;121,02;175,54;10,21;110,82;3,83;625,32;0;2;-2,69;-2,73;567,54;441,53;194;625,32;2,74;0,13;0,4;13,5;0,98;13,5
1469;0;0;28;7,54;0;0;0,93;1,21;0,6;0;26;89;66,92;7,53;0;66,92;3,83;53,45;0;0;0;2,43;154,81;86,64;71,67;53,45;0,91;0,47;0,4;;0,4;3,45
4004;1;9,09;13,67;4,61;6;1;0,59;0,97;0,01;0;12,67;37,67;1,72;1;0;1,72;3,8;7,68;0;0;0;0;15,08;11,02;15,67;7,68;0,37;0,13;0,13;4,32;2;4,32
4831;0;0;;9,54;0;0;0,99;1;1,08;22,9;30,33;44,33;72,93;42,51;9,41;63,52;3,8;734,41;0;37,67;0;0;843,35;769,57;146,33;734,41;0,75;0,2;0,33;9,54;1,07;9,54
5742;0;0;30,33;18,3;0;0;0,99;1,03;0,89;7,03;44,33;96,67;117,53;253,36;17,73;99,8;;345,59;0;9;0;0,77;264,94;130,53;328,67;342,97;1,16;0,53;0,67;13,96;1,58;13,96
8162;0;0;25,33;;0;0;1,07;1,15;1,08;0;17;34,67;4,22;10,16;0;4,22;3,8;154,12;0;0;0;1,9;139,35;134,57;102,67;154,12;3,35;0;0,07;1,31;0,97;1,31
9941;0;14,29;26,33;;8;1;0,95;1,33;0,8;0;12,67;43,33;1,86;1,68;0,18;1,68;3,8;36,57;0;0;0;0;81,14;79,27;26,33;36,57;0,28;0,13;0,13;4,03;1,04;4,03
16617;1;7,69;30,33;12,45;0;1;0,99;0,99;1,47;2,73;23;47,33;89,4;33,11;0,52;88,88;;223,1;0;1;0;-0,2;194,85;104,57;171,33;222,85;1,45;0,2;0,2;9,92;0,67;12,31
19016;0;0;30,33;16,42;0;0;0,99;1;0,76;5,08;69,33;82;38,57;42,69;4,01;34,56;6,73;188,97;0;5,67;0;0;219,92;177,36;226;188,25;1,05;0,27;0,2;16,28;1,3;16,28
19650;1;0;29;19,17;0;0;1;0,92;1,03;0,43;25,33;62,67;66,3;34,12;11,79;54,51;3,8;100,37;0;0,67;0;-2,21;361,71;293,02;84;100,37;1,8;0,27;0,27;3,45;0,9;3,45
22544;0;0;;7,75;16;0;1,19;1,1;0,65;0,12;19,33;24,67;6,79;7,26;0,34;6,44;3,8;41,42;0;0,67;-0,11;1,2;63,97;56,61;23,67;41,42;0,84;0,13;0,13;3,12;0,79;3,12
22572;1;33,33;16;3,54;0;1;0,69;1,04;0,66;0;6;15;0,13;0;0;0,13;3,8;79,51;0;0;0;0;58,33;58,2;40,67;79,51;0;0,07;0;3,45;0;3,45
22630;0;0;30;;3;0;1;1,04;1,16;1,35;23,33;74;15,53;3,4;5,19;10,34;3,77;84,26;0;0,33;0;0,83;240,68;213,88;147,33;;1,44;0;0;8,08;1,14;8,08
23185;0;0;30;21,09;0;0;1;1;0,68;0,16;37;88,33;12,62;8,61;0,14;12,48;3,8;315,95;0;0,33;0;0,03;265,88;252,63;129,67;315,17;2,06;0,07;0;16,28;1,25;20,36
23256;1;0;;1,82;0;0;1;1;0,81;0;9;12,67;0,25;0;0,25;0;3,8;112,42;0;0;0;0;235,3;234,04;16;112,42;0;0;0;1,82;1,26;1,82
23483;1;0;8,67;;0;0;0,58;1;0;0;5;11,33;0,09;0;0;0,09;;0;0;0;0;0;47,02;46,93;0;0;0;0,07;0;3,45;1,09;3,45
23756;1;0;27,67;;0;0;1,08;1,22;;1,27;20,67;59,67;3,67;7,06;2,18;1,49;3,77;51,24;0;1,67;6,02;6,02;49,31;45,63;63;51,24;0,59;0,07;0,27;16,28;0,37;17,98
23803;0;0;3;8,08;2;0;1;1;3;0;9;51;0;0,1;0;0;3,8;2,18;0;0;0;0;0,93;0,46;3;;0,1;0;0,07;8,08;1;8,08
24569;1;22,22;30,33;11,1;0;1;0,99;1,04;;24,42;19;45,67;107,46;43,48;7,53;99,93;;602,22;0;6,33;0;0,59;359,74;246,69;310,33;595,99;3,92;0,33;0,2;9,54;1,09;9,54
24599;1;0;16;;0;0;1;0,9;1,31;0;8;11;0,2;0;0,2;0;3,8;33,58;0;0;0;0;98,14;97,94;15;33,41;0;0,07;0;3,45;0,87;3,45
24626;0;0;;23,9;1;0;0,99;1,45;0,6;47,39;29,67;36,67;128,72;61,36;106,41;22,31;3,77;231,39;0;1,67;-1,7;16,19;405,44;273,84;82,67;230,73;7,38;0,2;0,27;8,57;1,75;12,89
24952;0;0;24,33;6,31;0;0;0,99;1,08;;0,35;12;14,67;23,87;4,21;1,07;22,79;3,8;60,81;0;0,67;0;0,72;327,31;303,44;21;60,81;0,6;0,33;0,07;3,45;0,75;3,45
25825;0;0;30,33;;0;0;0,99;1,14;0,96;27,2;59,33;122,33;88,72;96,32;27,08;61,63;;916,07;0;10,67;5,58;4,27;613,87;519,28;463,67;903,93;1,37;0,2;0,07;16,28;0,7;16,28
26063;1;0;28,33;15,9;0;0;0,99;1,05;0,8;0,16;10,33;23,33;0,34;0,44;0,34;0;3,8;63,67;0;0,67;1,16;1,16;26,43;26,09;61,67;63,67;0,24;0,07;0,07;9,54;1,23;9,54
26634;0;0;;23,75;0;0;0,97;1,18;1,21;2,62;44,67;48,67;98,99;64,67;6,95;92,04;3,8;359,13;0;5,67;0;6,27;370,94;271,62;237,67;358,72;1,08;0,2;0,2;9,54;1,04;14,46
27261;1;0;21,67;24,6;0;0;0,55;1;0,28;8,21;11,33;17,33;16,26;8,89;16,26;0;3,8;221,47;0;3;0;0,12;417,98;394,09;74,67;221,47;2,22;0;0,13;9,92;1,41;9,92
29527;1;0;30,33;;1;0;0,99;0,91;1,49;0;29;56;14,36;49,68;0;14,36;3,8;174,27;0;0;-4,48;-4,49;230,09;212,37;83,33;173,87;1,64;0;0,27;;0,71;9,54
31902;0;0;30,33;6,83;0;0;0,99;0,98;0,88;2,24;35,33;81,67;20,6;7,72;5,91;14,69;;182,14;0;1,67;0;-0,22;139,62;110,17;118,33;182,02;0,83;0,13;0;6,56;0;6,56
32716;0;0;28,67;8,41;5;0;1,05;0,81;1,12;11,12;17,67;14,33;28,51;55,34;5,98;22,53;6,73;153,88;0;16;0;-2,34;189,16;160,35;96,67;153,77;1,31;0,2;0,4;1,31;1,43;1,31
34544;0;0;30;3,79;0;0;1;0,92;1;0;23;41,67;16,64;0,11;0,96;15,68;3,77;43,69;0;0;0;0;393,02;375,01;34,67;43,69;0,11;0,2;0,07;3,45;1,09;3,45
34826;0;0;28,33;6,02;0;0;0,99;1,06;1,14;0;26,67;104,67;3,29;0,17;0;3,29;3,77;103,76;0;0;0;0;112,06;108,72;74;103,76;0,17;0,13;0;1,82;0,62;1,82
