ID;Target;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31
127;;0,00;30,33;8,87;0,00;0,00;0,99;1,02;1,31;32,56;25,00;52,33;50,77;68,02;33,85;16,92;3,83;95,39;0,00;6,00;0,00;0,25;85,59;32,45;41,00;95,39;4,65;0,40;0,73;8,26;0,12;8,26
214;;0,00;30,33;12,83;0,00;0,00;0,99;0,97;0,94;2,72;73,33;753,00;12,80;4,76;2,98;9,82;3,83;239,95;5,68;2,33;0,00;-0,66;809,38;787,78;164,67;239,95;2,35;0,00;0,00;4,32;1,33;10,00
542;;0,00;9,00;5,26;0,00;0,00;0,89;0,98;1,68;0,43;6,00;15,00;0,45;0,43;0,00;0,45;3,83;1,27;0,00;0,33;0,00;0,00;26,34;25,89;1,33;1,27;0,43;0,13;0,07;5,10;1,17;5,10
674;;0,00;24,33;;0,00;0,00;0,90;0,88;0,58;2,08;22,67;32,67;41,37;2,43;16,83;24,54;;34,62;0,00;2,00;0,00;0,00;116,31;73,20;27,33;34,62;0,70;0,33;0,13;4,71;1,80;4,71
756;;0,00;30,33;21,90;0,00;0,00;0,99;1,03;1,30;42,83;49,33;104,33;50,64;86,13;18,40;32,24;3,83;369,43;0,00;29,00;0,00;0,87;275,16;201,14;285,00;369,43;1,36;0,13;0,13;21,10;0,00;21,10
805;;0,00;30,33;10,09;0,00;0,00;0,99;1,08;0,88;0,00;25,00;71,67;200,36;6,72;1,45;198,91;3,83;993,48;0,00;0,00;0,00;1,15;633,15;432,64;170,67;989,91;2,08;0,33;0,00;9,54;0,80;9,54
1548;;0,00;30,33;13,57;0,00;0,00;0,99;1,00;1,01;0,00;39,67;71,33;44,76;6,85;0,54;44,21;3,83;851,61;3,97;0,00;0,00;0,08;956,71;911,95;578,33;851,61;0,92;0,00;0,00;9,54;1,19;13,50
2234;;0,00;30,33;;0,00;0,00;0,99;1,20;1,12;19,39;204,33;71,33;313,78;75,00;27,92;285,86;3,83;963,85;0,00;20,33;0,00;4,86;946,49;619,84;405,67;963,84;1,27;0,33;0,00;9,54;1,37;14,46
2553;;0,00;;23,35;0,00;0,00;0,99;1,14;1,26;1,99;50,33;51,33;134,62;179,64;2,49;132,13;3,73;627,12;0,00;2,00;4,79;4,77;415,70;279,30;306,67;626,83;2,74;0,40;0,40;21,60;1,13;23,20
2935;;0,00;30,00;57,47;0,00;0,00;1,00;1,02;;0,00;12,00;173,67;3,18;0,86;0,00;3,18;;17,76;0,00;0,00;0,00;1,38;15,25;9,72;22,67;17,76;0,25;0,20;0,07;9,54;1,34;14,46
3037;;0,00;30,33;14,37;0,00;0,00;0,99;0,97;0,79;48,93;20,67;31,33;9,61;65,25;0,00;9,61;6,73;297,87;0,00;7,00;-0,55;-0,55;298,56;288,85;173,67;297,87;4,17;0,07;0,27;13,96;1,00;13,96
3076;;0,00;28,67;7,42;0,00;0,00;0,98;0,99;;7,86;50,00;47,00;23,31;15,72;14,62;8,69;3,80;194,45;0,00;4,00;0,00;-0,10;361,76;328,35;172,00;194,45;1,72;0,07;0,00;7,20;0,94;7,20
3424;;0,00;;3,48;13,00;0,00;0,99;0,99;0,00;0,00;16,33;19,67;3,83;0,00;0,00;3,83;3,80;0,01;0,00;0,00;0,00;0,00;49,69;45,61;0,33;0,01;0,00;0,13;0,00;3,45;0,00;3,45
3698;;0,00;13,00;5,00;0,00;0,00;1,23;1,04;0,88;0,00;4,00;7,67;0,00;0,00;0,00;0,00;3,80;43,51;0,00;0,00;0,00;0,00;2,69;2,69;27,67;42,93;0,00;0,00;0,00;3,45;1,38;3,45
4659;;0,00;30,33;10,60;0,00;0,00;0,99;0,95;;3,04;48,33;71,33;23,84;19,47;4,47;19,37;;211,91;0,00;2,33;0,00;-0,75;249,81;211,04;193,00;209,69;1,53;0,07;0,13;4,32;0,96;4,32
4671;;0,00;3,33;0,78;0,00;0,00;0,30;1,00;0,00;0,00;13,67;27,67;0,90;0,00;0,00;0,90;3,80;1,73;0,00;0,00;0,00;0,00;11,20;9,77;1,33;;0,00;0,07;0,00;0,78;0,00;0,78
4915;;0,00;29,67;;3,00;0,00;0,98;1,02;1,43;0,22;29,00;69,67;74,87;272,79;0,21;74,66;3,80;302,53;0,00;0,33;0,00;0,94;80,96;5,85;139,00;299,76;2,22;0,80;0,87;30,94;0,84;30,94
5066;;0,00;30,33;;0,00;0,00;0,99;1,00;0,53;1,75;76,67;95,67;67,34;85,11;5,11;62,23;6,73;523,86;0,00;2,67;0,00;0,04;629,44;553,61;314,33;523,86;1,88;0,07;0,13;;0,98;16,28
5225;;0,00;27,67;13,16;0,00;0,00;0,94;1,12;0,96;8,55;21,33;65,00;11,96;18,12;1,46;10,50;3,80;364,75;0,00;4,67;0,00;2,32;328,81;316,85;90,00;364,51;3,03;0,07;0,20;9,92;0,82;14,71
5459;;12,50;30,33;18,76;1,00;1,00;0,99;1,24;1,23;0,00;39,67;119,67;313,79;92,59;0,00;313,79;3,80;1043,29;0,00;0,00;0,00;6,81;738,63;416,03;290,67;1041,62;3,96;0,20;0,07;;2,15;14,46
5729;;0,00;29,33;8,36;0,00;0,00;0,95;0,80;0,80;1,16;19,00;15,00;8,06;1,98;0,00;8,06;;205,43;0,00;0,33;0,00;-2,47;265,07;252,38;65,33;;0,99;0,07;0,00;3,45;0,86;3,45
6137;;0,00;27,67;55,34;6,00;0,00;0,83;1,75;0,68;0,00;21,00;38,00;0,28;0,34;0,00;0,28;3,80;346,73;0,00;0,00;0,00;62,59;66,21;63,42;98,33;336,62;0,34;0,00;0,00;13,50;1,92;13,50
