iter	Logloss
0	0.6891268311
1	0.6849755249
2	0.6807012939
3	0.6768103638
4	0.6731598511
5	0.6695633545
6	0.6660155029
7	0.6631867676
8	0.6599976196
9	0.6573970947
10	0.6545228271
11	0.6521130371
12	0.649550354
13	0.646788269
14	0.6444163818
15	0.6422598877
16	0.6398775024
17	0.637619873
18	0.635715271
19	0.6339794922
20	0.631663269
21	0.6295144043
22	0.6278741455
23	0.6263371582
24	0.6247244263
25	0.6232064209
26	0.6215418701
27	0.6198792725
28	0.6182178955
29	0.6167103271
30	0.6152996216
31	0.6138219604
32	0.6128283691
33	0.6116505737
34	0.6104927979
35	0.609425293
36	0.6081923218
37	0.6070876465
38	0.6061591797
39	0.605088623
40	0.6039326172
41	0.6030802002
42	0.6021433105
43	0.6014351807
44	0.6005107422
45	0.5997254028
46	0.598800354
47	0.598008606
48	0.5973411255
49	0.596444397
50	0.5955542603
51	0.5949289551
52	0.5941419678
53	0.5933166504
54	0.5925704346
55	0.591998291
56	0.5912767334
57	0.5905402832
58	0.5898508301
59	0.5893186035
60	0.5886654053
61	0.5880783691
62	0.5875272217
63	0.5869366455
64	0.586350708
65	0.5858483887
66	0.5852155151
67	0.5846973267
68	0.5841729126
69	0.5836878052
70	0.5830407715
71	0.582505188
72	0.5820845947
73	0.5815523071
74	0.5811398926
75	0.5807414551
76	0.5802570801
77	0.5798278198
78	0.5793269043
79	0.578817627
80	0.5783527222
81	0.5780084229
82	0.5775534058
83	0.5771334229
84	0.5767338257
85	0.5763008423
86	0.5758165283
87	0.5755015869
88	0.5750742187
89	0.5747258301
90	0.5743447266
91	0.5739516602
92	0.5735675659
93	0.5732721558
94	0.5729029541
95	0.5726254883
96	0.5722924805
97	0.5719593506
98	0.5715622559
99	0.5711939087
100	0.5709507446
101	0.5706962891
102	0.5703476562
103	0.569973877
104	0.5696223145
105	0.5693806152
106	0.5690040283
107	0.5687590942
108	0.568376709
109	0.5681065063
110	0.5677991943
111	0.5673768921
112	0.5671256104
113	0.5668336182
114	0.5665262451
115	0.5662686157
116	0.5659220581
117	0.5656897583
118	0.5653736572
119	0.5649906006
120	0.5647893066
121	0.5645671387
122	0.5642634277
123	0.5639279785
124	0.5637209473
125	0.563432312
126	0.5630847168
127	0.5628128662
128	0.5625899048
129	0.5623979492
130	0.5621159668
131	0.5618760376
132	0.5616472168
133	0.5613562622
134	0.5611030273
135	0.5608887939
136	0.5606224365
137	0.560432373
138	0.5601914062
139	0.5600143433
140	0.559772583
141	0.5594974365
142	0.5592426758
143	0.5589884033
144	0.5587802124
145	0.5585343628
146	0.558293335
147	0.5580801392
148	0.5577619629
149	0.5575595093
150	0.5573151855
151	0.55715448
152	0.5569842529
153	0.5567498779
154	0.5564403076
155	0.556203186
156	0.5559399414
157	0.5557288818
158	0.5554628906
159	0.555289917
160	0.5550598145
161	0.5548804932
162	0.5545706787
163	0.554343689
164	0.5540101318
165	0.5537266846
166	0.553532959
167	0.5533135986
168	0.5531065674
169	0.5528769531
170	0.5527159424
171	0.5525308838
172	0.5523425293
173	0.5520387573
174	0.5517261353
175	0.5515600586
176	0.5514014893
177	0.5511376953
178	0.5509315186
179	0.5506801147
180	0.5504892578
181	0.5502805176
182	0.5500415039
183	0.5499570923
184	0.5497606201
185	0.5496265259
186	0.5493786011
187	0.5492142944
188	0.5490600586
189	0.5488513794
190	0.5487011719
191	0.5485287476
192	0.5484041748
193	0.5482549438
194	0.548046814
195	0.5478832397
196	0.5476470337
197	0.5473795776
198	0.5471888428
199	0.5469119873
200	0.5467560425
201	0.5464921875
202	0.5463491821
203	0.5460845947
204	0.5458519287
205	0.5456854858
206	0.5454559326
207	0.5452763672
208	0.5450842285
209	0.5448530273
210	0.5446202393
211	0.5444730225
212	0.5443248291
213	0.5441552734
214	0.5439642944
215	0.5438305664
216	0.5436530762
217	0.5433964844
218	0.5432103271
219	0.5430296631
220	0.5429450684
221	0.5427740479
222	0.5426459961
223	0.5424691162
224	0.5423258057
225	0.5421029663
226	0.5419772339
227	0.5417706299
228	0.5415770264
229	0.5413605957
230	0.5411650391
231	0.5410641479
232	0.5407333984
233	0.5405097046
234	0.5402910156
235	0.5401208496
236	0.5398806152
237	0.5397160034
238	0.5396055908
239	0.5393730469
240	0.5391884766
241	0.538914856
242	0.5387884521
243	0.538659668
244	0.5385377197
245	0.5383082275
246	0.5382182617
247	0.5380053711
248	0.5378884888
249	0.5377389526
250	0.5375910645
251	0.5374884033
252	0.5372625732
253	0.537182251
254	0.5370576782
255	0.5369173584
256	0.5368312988
257	0.5366224365
258	0.5364002686
259	0.5362544556
260	0.5360831299
261	0.5359135742
262	0.5357297974
263	0.5355751953
264	0.5353139648
265	0.5351959839
266	0.5350493164
267	0.5349080811
268	0.5346665039
269	0.5345241699
270	0.5342686157
271	0.5341835938
272	0.5339102783
273	0.5337178955
274	0.5336048584
275	0.5334993896
276	0.5333195801
277	0.5331728516
278	0.5329403687
279	0.5327581787
280	0.5325699463
281	0.532418457
282	0.5322161255
283	0.5320440674
284	0.5318676147
285	0.5316789551
286	0.5315125732
287	0.5313049927
288	0.531147583
289	0.5309534912
290	0.5307682495
291	0.5306411133
292	0.5304882813
293	0.5302469482
294	0.5300661621
295	0.5299155884
296	0.529713623
297	0.5295651855
298	0.5294509888
299	0.5293148804
300	0.5291502686
301	0.5289730835
302	0.5287650146
303	0.5285819092
304	0.5284217529
305	0.5283136597
306	0.5280812988
307	0.5278594971
308	0.5276781616
309	0.5275604858
310	0.5275030518
311	0.52728479
312	0.5270578613
313	0.5268723145
314	0.526633606
315	0.5264765015
316	0.5262610474
317	0.5261213379
318	0.5259498291
319	0.5256138306
320	0.5254807129
321	0.5253210449
322	0.5252106323
323	0.5250592651
324	0.5249320679
325	0.5247825928
326	0.5246245117
327	0.5244693604
328	0.5243101807
329	0.5240202637
330	0.5237616577
331	0.5235415039
332	0.5234366455
333	0.5233148193
334	0.5231905518
335	0.5230761108
336	0.5228200684
337	0.5227410889
338	0.5225512695
339	0.5223771973
340	0.5222212524
341	0.5219645996
342	0.5218052979
343	0.5216481323
344	0.5215023193
345	0.5213869629
346	0.5212503662
347	0.5211913452
348	0.5209811401
349	0.5207088013
350	0.5204266357
351	0.5202025146
352	0.5199925537
353	0.5198521118
354	0.5196610107
355	0.5195355225
356	0.5194335327
357	0.5193347778
358	0.5191700439
359	0.5189072266
360	0.5187840576
361	0.5185946045
362	0.5183660889
363	0.5182324829
364	0.5180583496
365	0.5179194336
366	0.5178044434
367	0.5176612549
368	0.5174612427
369	0.5173487549
370	0.5172350464
371	0.517008667
372	0.5168564453
373	0.5166350098
374	0.5164194336
375	0.5161634521
376	0.5158474731
377	0.5155696411
378	0.5153297729
379	0.5152093506
380	0.5149503784
381	0.5148424072
382	0.5145720825
383	0.5143439941
384	0.5142724609
385	0.5139874268
386	0.5138271484
387	0.5136762695
388	0.513489624
389	0.513295166
390	0.5130858154
391	0.5129332886
392	0.5126673584
393	0.5124008179
394	0.5121290283
395	0.5119143066
396	0.5117637939
397	0.5116274414
398	0.5114461975
399	0.5113087158
400	0.5110702515
401	0.5109407654
402	0.5107812195
403	0.5106009521
404	0.5103070984
405	0.5101173401
406	0.5098553772
407	0.5097213135
408	0.5095389404
409	0.5094340515
410	0.5093056641
411	0.5091389771
412	0.5089894104
413	0.5087361145
414	0.5085077515
415	0.5082992554
416	0.5079785156
417	0.5077952576
418	0.5075132141
419	0.5073926086
420	0.507295105
421	0.5071559448
422	0.5069642334
423	0.5068632202
424	0.5067249451
