iter	Passed	Remaining
0	2	2923
1	7	3669
2	10	3519
3	13	3398
4	16	3254
5	20	3322
6	23	3380
7	26	3300
8	29	3238
9	32	3198
10	35	3183
11	38	3131
12	40	3090
13	43	3067
14	46	3065
15	50	3102
16	53	3066
17	56	3066
18	58	3030
19	61	3015
20	64	2991
21	67	2983
22	69	2960
23	72	2953
24	75	2946
25	78	2941
26	81	2930
27	84	2935
28	88	2950
29	91	2949
30	94	2946
31	97	2945
32	100	2945
33	103	2942
34	106	2930
35	110	2955
36	113	2958
37	116	2949
38	120	2957
39	122	2951
40	125	2945
41	128	2938
42	131	2932
43	134	2930
44	137	2928
45	141	2931
46	144	2930
47	147	2922
48	150	2921
49	153	2919
50	156	2916
51	159	2912
52	162	2911
53	165	2906
54	169	2905
55	171	2898
56	174	2892
57	177	2883
58	180	2879
59	183	2876
60	187	2880
61	189	2874
62	192	2868
63	196	2866
64	198	2856
65	201	2845
66	204	2849
67	207	2847
68	210	2837
69	212	2829
70	215	2825
71	218	2818
72	221	2811
73	224	2806
74	226	2796
75	229	2793
76	232	2787
77	235	2781
78	239	2786
79	242	2787
80	245	2780
81	247	2773
82	250	2766
83	253	2761
84	255	2755
85	258	2747
86	261	2743
87	264	2739
88	267	2736
89	270	2731
90	272	2725
91	275	2720
92	278	2715
93	281	2708
94	283	2702
95	287	2705
96	290	2704
97	293	2701
98	296	2700
99	299	2698
100	302	2695
101	305	2691
102	308	2685
103	311	2680
104	314	2676
105	316	2672
106	319	2667
107	322	2663
108	325	2659
109	328	2658
110	331	2655
111	334	2648
112	336	2642
113	339	2637
114	342	2633
115	345	2629
116	347	2624
117	350	2620
118	353	2619
119	356	2615
120	359	2610
121	361	2604
122	364	2600
123	367	2598
124	370	2593
125	373	2589
126	376	2586
127	379	2584
128	381	2578
129	384	2575
130	387	2571
131	390	2567
132	393	2562
133	396	2560
134	399	2558
135	402	2555
136	405	2551
137	407	2547
138	410	2544
139	413	2541
140	416	2537
141	419	2534
142	422	2531
143	425	2530
144	428	2526
145	431	2522
146	433	2518
147	436	2513
148	439	2508
149	442	2505
150	444	2501
151	448	2501
152	450	2496
153	453	2493
154	456	2489
155	459	2486
156	462	2484
157	465	2481
158	468	2478
159	471	2475
160	474	2472
161	477	2471
162	480	2468
163	483	2464
164	486	2461
165	489	2457
166	492	2455
167	494	2451
168	497	2447
169	500	2443
170	503	2438
171	505	2433
172	508	2428
173	511	2425
174	513	2421
175	516	2417
176	518	2412
177	521	2409
178	524	2407
179	527	2403
180	530	2400
181	533	2396
182	536	2393
183	539	2390
184	541	2387
185	544	2384
186	547	2379
187	549	2375
188	552	2370
189	555	2369
190	558	2365
191	560	2360
192	564	2360
193	567	2357
194	570	2354
195	573	2350
196	576	2348
197	579	2346
198	582	2343
199	584	2338
200	587	2335
201	590	2332
202	593	2332
203	596	2329
204	599	2325
205	602	2322
206	604	2317
207	608	2315
208	610	2312
209	613	2308
210	616	2304
211	618	2300
212	621	2296
213	624	2293
214	627	2290
215	630	2287
216	632	2283
217	635	2279
218	638	2277
219	641	2273
220	644	2270
221	646	2266
222	650	2265
223	653	2264
224	656	2261
225	659	2259
226	662	2255
227	665	2251
228	668	2249
229	671	2247
230	673	2243
231	676	2240
232	679	2237
233	683	2238
234	686	2234
235	689	2232
236	692	2228
237	695	2225
238	697	2222
239	701	2220
240	703	2216
241	706	2212
242	709	2209
243	712	2206
244	715	2204
245	718	2201
